year,imd_decile,ethnic_group,infant_deaths,infant_mortality_rate,rate_unreliable_flag
2014,4,Mixed_or_multiple,12,2.9,True
2014,4,Any_Other_ethnic_group,10,5.9,True
2014,4,White,161,3.2,False
2014,5,Asian,34,4.8,False
2014,5,Black,12,4.9,True
2014,5,Mixed_or_multiple,9,2.7,True
2014,5,Any_Other_ethnic_group,3,2.4,True
2014,5,White,166,3.5,False
2014,6,Asian,19,3.6,True
2014,6,Black,12,7.9,True
2014,6,Mixed_or_multiple,3,1.0,True
2014,6,Any_Other_ethnic_group,2,,True
2014,6,White,137,2.9,False
2014,7,Asian,10,2.6,True
2014,7,Black,7,6.4,True
2014,7,Mixed_or_multiple,6,2.1,True
2014,7,Any_Other_ethnic_group,3,3.6,True
2014,7,White,125,2.8,False
2014,8,Asian,11,3.1,True
2014,8,Black,11,13.2,True
2014,8,Mixed_or_multiple,9,3.3,True
2014,8,Any_Other_ethnic_group,0,,True
2014,8,White,130,2.9,False
2014,9,Asian,4,1.3,True
2014,9,Black,4,5.8,True
2014,9,Mixed_or_multiple,10,4.0,True
2014,9,Any_Other_ethnic_group,3,5.1,True
2014,9,White,112,2.6,False
2014,10,Asian,11,4.3,True
2014,10,Black,1,,True
2014,10,Mixed_or_multiple,9,3.9,True
2014,10,Any_Other_ethnic_group,2,,True
2014,10,White,88,2.3,False
2014,Total,Asian,366,4.8,False
2014,Total,Black,213,6.4,False
2014,Total,Mixed_or_multiple,113,3.1,False
2014,Total,Any_Other_ethnic_group,60,4.0,False
2014,Total,White,1498,3.1,False
2013,1,Asian,107,6.6,False
2013,1,Black,53,6.6,False
2013,1,Mixed_or_multiple,30,5.5,False
2013,1,Any_Other_ethnic_group,17,5.2,True
2013,1,White,264,4.5,False
2013,2,Asian,86,6.2,False
2013,2,Black,63,7.0,False
2013,2,Mixed_or_multiple,24,4.8,False
2013,2,Any_Other_ethnic_group,13,5.4,True
2013,2,White,208,3.9,False
2013,3,Asian,59,4.8,False
2013,3,Black,43,6.5,False
2013,3,Mixed_or_multiple,12,2.7,True
2013,3,Any_Other_ethnic_group,9,4.3,True
2013,3,White,172,3.3,False
2013,4,Asian,47,5.2,False
2013,4,Black,29,7.6,False
2013,4,Mixed_or_multiple,14,3.6,True
2013,4,Any_Other_ethnic_group,2,,True
2013,4,White,173,3.4,False
2013,5,Asian,29,4.2,False
2013,5,Black,12,4.8,True
2013,5,Mixed_or_multiple,12,3.6,True
2013,5,Any_Other_ethnic_group,7,5.4,True
2013,5,White,140,2.9,False
2013,6,Asian,25,4.8,False
2013,6,Black,7,4.3,True
2013,6,Mixed_or_multiple,10,3.4,True
2013,6,Any_Other_ethnic_group,4,3.9,True
2013,6,White,132,2.7,False
2013,7,Asian,16,4.1,True
2013,7,Black,8,7.6,True
2013,7,Mixed_or_multiple,13,4.8,True
2013,7,Any_Other_ethnic_group,2,,True
2013,7,White,110,2.5,False
2013,8,Asian,20,5.7,False
2013,8,Black,7,8.3,True
2013,8,Mixed_or_multiple,5,1.9,True
2013,8,Any_Other_ethnic_group,3,4.7,True
2013,8,White,126,2.8,False
2013,9,Asian,10,3.5,True
2013,9,Black,1,,True
2013,9,Mixed_or_multiple,6,2.5,True
2013,9,Any_Other_ethnic_group,0,,True
2013,9,White,113,2.6,False
2013,10,Asian,6,2.4,True
2013,10,Black,1,,True
2013,10,Mixed_or_multiple,5,2.3,True
2013,10,Any_Other_ethnic_group,1,,True
2013,10,White,111,2.8,False
2013,Total,Asian,405,5.3,False
2013,Total,Black,224,6.5,False
2013,Total,Mixed_or_multiple,131,3.7,False
2013,Total,Any_Other_ethnic_group,58,4.1,False
2013,Total,White,1549,3.2,False
2012,1,Asian,118,7.1,False
2012,1,Black,52,6.2,False
2012,1,Mixed_or_multiple,31,5.5,False
2012,1,Any_Other_ethnic_group,15,4.8,True
2012,1,White,299,4.8,False
2012,2,Asian,87,6.1,False
2012,2,Black,59,6.2,False
2012,2,Mixed_or_multiple,31,5.8,False
2012,2,Any_Other_ethnic_group,11,4.6,True
2012,2,White,241,4.3,False
2012,3,Asian,60,4.7,False
2012,3,Black,49,7.3,False
2012,3,Mixed_or_multiple,19,4.2,True
2012,3,Any_Other_ethnic_group,11,5.5,True
2012,3,White,193,3.5,False
2012,4,Asian,45,4.7,False
2012,4,Black,24,5.8,False
2012,4,Mixed_or_multiple,21,5.2,False
2012,4,Any_Other_ethnic_group,4,2.7,True
2012,4,White,174,3.3,False
2012,5,Asian,31,4.4,False
2012,5,Black,12,4.5,True
2012,5,Mixed_or_multiple,14,4.0,True
